Provider NI Name,Provider ID,Provider Name
"Jessop, Alison",1-10251094920,Age Care Advice Limited
"Jevon, Marie",1-6472797001,Include 'In' Autism community interest company
"Jha, Nisha",1-9317992262,Renew Skin & Health Clinic Ltd
"Jibodu, Adejumoke",1-15348835835,Care 4 You Care Agency Ltd
"Jinga, Charity",1-9737478506,Ruchcare Ltd
"Jingo, Sheila",1-11093207320,Ivy Homecare Limited
"Jingree, Megraj",1-12467188485,Chris Care Service (UK) Limited
"Jingree, Megraj",1-4280709496,Renaissance Community Care Services Limited
"Jivraj-Maguire, Fahreen",1-101650186,Altruistic Care Limited
"Jjagwe, Vincent",1-13479195044,Concept Support Solutions Limited
"Jno Hope, Ken",1-14729798485,Selebra Homecare Ltd
"Jobi-Stevens, Abimbola",1-12501737734,Beulah Care Training And Services Limited
"Jofirisi, Gumisai",1-12533610658,Eniro Care Ltd
"Johal, Jaskarn",1-4056248656,Lloyds Care Group Ltd
"Johal, Kuldip",1-1300968947,The Care Workshop Limited
"Johal, Parvinder",1-574384882,Woodway Carers Limited
"Johani, Hilda",1-2378316508,HBBA Care Ltd
"John, Sunday",1-2634319869,ICare Resource Limited
"John, Varghese",1-14162919396,Charis Home Care Limited
"Johns, Kerry",1-2257091837,Rural Care (North Devon) Ltd
"Johns, Michael",1-2931191461,Kindherts Care Ltd
"Johnson, Amanda",1-4253459567,Homelea Care Services Ltd
"Johnson, Amy-Louise",1-11413723658,LA's Community Care Ltd
"Johnson, Andrew",1-946333523,Bespoke Care & Support Services Limited
"Johnson, Bronia",1-805650296,Amber Care (lincolnshire) Limited
"Johnson, Caroline",TAH,Sheffield Health and Social Care NHS Foundation Trust
"Johnson, Charlotte",1-3680582126,Johnson James Care Limited
"Johnson, Claire",1-3595109457,Platinum Community Care Limited
"Johnson, Daniel",1-101628770,Wychbury Care Services Limited
"Johnson, David",1-1651530192,My Homecare Assistance Limited
"Johnson, Emma-Jayne",1-5056138023,Elite Care North West Limited
"Johnson, Fay",1-8501865947,Attention 2 Care Limited
"Johnson, Gerald",1-5093058260,Aegis Care Solutions Ltd
"Johnson, Grace",1-131469059,Olney Care Services Limited
"Johnson, Itunuoluwa",1-17710640503,Comfortplus Health Ltd
"Johnson, Kelly",1-101688185,Generations Care Agency Limited
"Johnson, Lorna",1-13310428852,Midlands Residential Care Ltd
"Johnson, Lorraine",1-101689309,Carewise Ltd
"Johnson, Martin",1-421422248,Boulevard Care Limited
"Johnson, Nicholas",1-101640919,Pramacare
"Johnson, Nicola",1-101610703,Kelso Care Consortium Limited
"Johnson, Richman",1-2708379784,WiCare Services Ltd
"Johnson, Samantha",1-12345178964,Luxurycare Seabourne House Limited
"Johnson, Stephen",1-715924524,Woburn Care Company Ltd
"Johnson, Tracy",1-10153822247,Godfrey Barnes Care SL Limited
"Johnson, Victor",1-9518245702,Ignition Care Ltd
"Johnson-Ogbuneke, Ngozika",1-4805004000,Sanctuary Life Care Limited
"Johnston, Fardosa",1-7304453868,Johnston's Home Care Ltd
"Johnston, Sheila",1-14627750025,Elmfield Care 1 Limited
"Johnston, Sheila",1-9293374085,Elmfield Care Limited
"Johnstone, Robert",1-5609615798,Johnstones Homecare Ltd
"Jombe, Mable",1-15102700725,Britz Health Care Ltd
"Jonathan, Jyoti",1-17188217726,Care Centre Inc Ltd
"Jones, Amanda",1-3179109275,Approved Care and Support Limited
"Jones, Andrew",1-2047003077,Meadowvale Homecare Ltd
"Jones, Angella",1-10085614717,Reliable Community Care Services Ltd
"Jones, Anne",1-119231306,Tattenhall Local Care Limited
"Jones, Antonia",1-9774166358,Mulbury Care Services Limited
"Jones, Carol",1-101606240,Accomplish Group Support Limited
"Jones, Carol",1-101606617,Freedom Care Limited
"Jones, Carol",1-101692997,Accomplish Group Residential Care Limited
"Jones, Carol",1-2715264541,Transparent Care Limited
"Jones, Charlotte",1-8598238428,The Heights Care Limited
"Jones, David",1-6448123216,DGS Health Ltd
"Jones, Deborah",1-1227839914,Atlantis Care Ltd
"Jones, Diane",1-7052493094,Lillyfields Care Ltd
"Jones, Dominic",1-626085735,Maple Tree Care Limited
"Jones, Emma",1-101606248,Belford Care Limited
"Jones, Emma",1-15306488793,Hartford Care (9) Ltd
"Jones, Emma",1-2245375029,Hartford Care (5) Limited
"Jones, Emma",1-336113420,Hartford Care (2) Limited
"Jones, Emma",1-8450238520,Halcyon Days Community Opportunities Ltd
"Jones, Fearn",1-6575960572,Quartz Care Limited
"Jones, Gary",1-119231288,Freedom Supported Living Limited
"Jones, George",1-10451078498,Cheadle Care Ltd
"Jones, Helen",1-101653283,Sentinel Health Care Limited
"Jones, Helen",1-101658339,Delphine Homecare Limited
"Jones, Helen",1-101683733,Grove Care Limited
"Jones, Hilton",1-742716942,Purity Care Ltd
"Jones, James",1-9328294374,Fidelia Care Limited
"Jones, Jane",1-131465559,Applewood Support Limited
"Jones, Jodi",1-541092196,Elderflower Care Services Ltd
"Jones, Julie",1-3632473740,Jayrima Care Limited
"Jones, Karen",1-101659184,Autism Care (UK) Limited
"Jones, Karen",1-101675727,Lifeways Community Care Limited
"Jones, Karen",1-101677601,Community Care Solutions Limited
"Jones, Karen",1-101696544,Lifeways Orchard Care Limited
"Jones, Karen",1-116865497,Autism Care (North West) Limited
"Jones, Karen",1-116865769,Burgess Care Limited
"Jones, Karen",1-139905518,Lifeways Rose Care and Support Limited
"Jones, Karen",1-1750612618,Autism Care UK (4) Limited
"Jones, Karen",1-1798941241,Autism Care (Bedford) Limited
"Jones, Keith",1-2850416535,Topaz Care Services Ltd
"Jones, Kirsty",1-102642501,Caremark Limited
"Jones, Kristina",1-262597426,Lymphcare UK CIC
"Jones, Lesley-Ann",1-101671521,Stourport Nursing & Home Care Limited
"Jones, Linda",1-101693413,Allcare Services And Training Ltd
"Jones, Lysander",1-1776937184,UK Top Care Limited
"Jones, Martyn",1-101670676,Clarendon Home Care Limited
"Jones, Patricia",1-2702271388,P&T Cares 4 U Ltd
"Jones, Phillip",1-101619778,City Care Partnership Limited
"Jones, Robert",1-434328628,Darlington Home Care Ltd
"Jones, Sam",1-8809168243,South West Care Group LTD
"Jones, Sarah",RVN,Avon and Wiltshire Mental Health Partnership NHS Trust
"Jones, Steve",1-1894605938,GN Wellsprings Care Services Ltd
"Jones, Susan",1-440547153,Ace Care Professionals Limited
"Jones, Thembelihle",1-2442719091,Stable Lives Care Ltd
"Jones, Tina",1-6381230099,Cheshire Homecare Ltd
"Jones, Veronica",1-1796549864,Conquest Care and Support Agency LTD
"Jonfiah, Sean",1-13505650422,Quality Care 4 You Ltd
"Jonga, Elizabeth",1-9982535575,Quality Care Limited Company Limited
"Joolia, Ali",1-6653677288,Ripon Stourport Care Limited
"Jordan, Christine",1-5554449172,Procare Health Limited
"Jordan, Christine",1-8070002062,Procare Community Services Limited
"Jordan, Hilary",1-119229432,Charnat Care Limited
"Jordan, Laura",1-3573940314,ToHealth Ltd
"Jordan, Susan",1-101681421,Anchor Support Services Limited
"Jorden, Jerrel",1-8289358734,Destiney Social Care Provider Ltd
"Jose, Praveen",1-3917869920,Trinity Carestaff Solutions Limited
"Joseph, Armah",1-14909385316,Glarm Health Care Services Limited
"Joseph, Biju",1-2983388514,Select Supported Care Limited
"Joseph, Biju",1-4568458439,Montis Care Limited
"Joseph, Joisy",1-15892682101,Begood Care Limited
"Joseph, Pravin",1-18621760519,Careroots Ltd
"Joseph, Rene",1-2155303087,Luv To Care Ltd
"Joseph, Sijomon",1-7064271347,Holy Spirit Care Group Limited
"Joseph, Valerie",1-101658721,Social Care 4U Limited
"Joseph-Abrigo, Veronica",1-904225512,Acacia Community Care Limited
"Josgray, Harish",1-131464769,Gold Care Services Ltd
"Joshi, Chaitan",1-101685665,MJ CareCentre Limited
"Joshi, Chaitan",1-119227712,Joshi Home Care Limited
"Joshi, Nalin",1-1373391499,NA SS Care Limited
"Joshi, Sarita",1-7298328868,Democare Services Limited
"Joshua-Peter, Katarina",1-6576856629,K J Divine Care Ltd
"Josi, Ernest",1-1601416587,Goshen Social Care Ltd
"Jouini, Angela",1-2585818590,Lilyrose Care Group Limited
"Jourdan, Anthony",1-2101846486,Minton Care Hotels Ltd
"Jowo, Nyaradzo",1-2924075656,Sinai Care Solutions Limited
"Joyce, Alyson",1-101676837,Hometrust Care Limited
"Joyce, Molly Anne",1-7721809925,The Firs Home Care Ltd
"Joyce, Rochelle",1-13930544565,Joe's Everyday Care Ltd
"Juchacz, Marek",1-2288252934,K & J Carers Ltd
"Jude, Frederick",1-101616057,Adelaide Care Limited
"Jukes, Ian",1-929470526,Creative Care and Support Limited
"Julia Akua, Julia Akua",1-2030363673,Explora Haven Training and Support Services Limited
"Jumaily, Alan",1-3220795772,Inspiricare Ltd
"Jumbe, Chisomo",1-15053527724,PHH Care Ltd
"Jumho, Joseph",1-9443853155,Starsafe Care Limited
"Junaid, Foluso",1-1045375676,Naid Care Limited
"Jung, Tina",1-2264074575,Caring Heart Carers Limited
"Jupp, Rebecca",1-101688275,Martlets Care Limited
"Jura, Annah",1-4431806340,Exceed Support Services Ltd
"Juranek, Sylwia",1-18384121862,Missing Link Support Ltd
"Justice-Annan, Stella",1-4632997577,Global Express Travel Health Clinic Ltd
"Kabali, Milley",1-7778146971,BBC Care Service Limited
"Kabange, Chandwe",1-101652668,GB Care Limited
"Kabba, Mateneh",1-2056053819,Amy Adams Homecare UK Limited
"Kabel, Mohammed",1-17716735189,Paleo Care Limited
"Kabiswa, Samuel",1-16339662001,Dovecross Health Care Ltd
"Kabriya, Vinod",1-473564839,UK Care Service Limited
"Kabuye, Edirisa",1-9397966037,Expert Care Solutions Ltd
"Kabuzi, Felicity",1-3175326659,Angel Hands Social Care Ltd
"Kachepa, Alexander",1-16514928907,Alexkare Support and Care Ltd
"Kachingwe, Esther",1-15576343354,SEM-I Health Group Limited
"Kaczorowski, Michal",1-10438302142,Community Care Investment Group Limited
"Kadar, Sanaz",1-101624621,The Firs Care Services Limited
"Kadarsha, Mohammed",1-8503821341,Alliance Primary Care Limited
"Kadembo, Tapiwa",1-18333633985,Infinity Comfort Care Ltd
"Kadi, Jyothy",1-11475484691,Overslade Care Ltd
"Kadiri, Leonora",1-4254683317,Springvilla Care Limited
"Kadzviti, Fidelia",1-9882049075,Loving Arms Care and Support Limited
"Kafesu, Tafadzwa",1-101688853,SSA Quality Care Limited
"Kageye, Beatrice",1-17592066191,Verona Home Care Service Limited
"Kagogoda, Tinashe",1-16531342368,Ravenhill Health Ltd
"Kagoro, Douglas",1-16541270433,Merrydays Care Services Ltd
"Kaguathi, Lucy",1-14804504354,Well-Led Care Ltd
"Kagwi-Ouattara, Charity Monicah Wambui",1-5182137240,Angels Caring Care Limited
"Kahari, Inviolata",1-8880837037,Waincare Limited
"Kahari, Resica",1-16982952995,Vitality Support Ltd
"Kahin, Hoda",1-3087758137,Ace Homecare Services Limited
"Kairangwa, Halima",1-9475469933,Custodian Care Limited
"Kakonge, Sarah",1-7166191970,The Health Care Group (THCG) Ltd
"Kalangi, Uday",1-376232043,The Elms Care Centre Limited
"Kalaria, Harilal",1-101617206,Life Care (UK) Limited
"Kale, Jai",1-1983844200,Dencare Limited
"Kale, Preeti",1-14823145873,Good Faith Care Ltd
"Kalejaiye, Babatunde",1-13408499860,Reignscare Ltd
"Kalejaiye, Sunday",1-7689537322,Trix Medcare Ltd
"Kallan, Bavna",1-18618427515,Complete Clinical Care Ltd
"Kalokoh, Aminata",1-229384919,People Matter Support Services Limited
"Kalu Ajike, Carol",1-16377792125,Astonishing Care Limited
"Kalu, Okoro",1-13682916105,Eveready Carers Limited
"Kalupka, Matthew",1-287947384,Home Counties Carers Limited
"Kalyan, Jagdeep",1-6714927343,Dovecare Services Limited
"Kamal, Aini",1-5059650545,The Womens Health Clinic Ltd
"Kamanda, Takudzwa",1-17193919582,Healthycheck Ltd
"Kamanga, Clara",1-13946648677,CAM Gray Support Services Ltd
"Kamanga, Nathalie",1-10246698775,Maxxicare Ltd
"Kamangu, Esther",1-3555740499,Bluewood Care Limited
"Kamara, Abubakarr",1-101728279,Innova Care Limited
"Kamara, Allieu",1-4798438186,Green Care Services Middlesex Ltd
"Kamara, Hassan",1-101721071,Southwark African Family Support Services (SAFSS)
"Kamara, Rita",1-9623173284,Infinite Care Services Ltd
"Kamau, Lumbumba",1-5117693786,Buckingham Home Care Limited
"Kamau, Winnie",1-10456761860,Humane Care Services Limited
"Kambadza, Hellena",1-4870204659,HK-Care Consulting Limited
"Kambarami, Nomusah",1-9006696088,Everready Health And Social Care Solutions Ltd
"Kambasha, Kelvin",1-3652883480,BI FLEXI SUPPORT LTD
"Kamdar, Abdul",1-7729870497,Nation Home Care Limited
"Kamere, Abson",1-9758862876,Lundi Education and Care Services Ltd
"Kamgou Keunang, Ange Eric",1-18418978602,Premier24care Limited
"Kamhiriri, Enock",1-15172677219,Healing Hands Care Solutions Limited
"Kamola, Mwanza",1-9104206416,Trust We Care Limited
"Kamudyariwa, Weston",1-2462215597,Independant Community Support Limited
"Kanabar, Amit",1-4276215775,AMS Care Services Ltd
"Kanai, Mary Ann",1-2107925428,Creative Care Limited
"Kananda, Davie",1-363315753,Leicestershire County Care Limited
"Kanani, Rajendra",1-2331954657,Cinnabar Support and Living Ltd
"Kanda, Ruth",1-11223934578,Haven Care Solutions Limited
"Kandare, Elizabeth",1-15524636033,Westlea Care Limited
"Kandemiiri, Felistas",1-11948424515,Mankan-Go Care Ltd
"Kandjiriomuini, Emily",1-14520480285,Positive Core Care Ltd
"Kandodo, Munyaradzi",1-14165282171,Profound Housing and Support Ltd
"Kane Abdullah, Abd-Al-Jalil",1-101671019,Community Housing and Therapy
"Kane, Carolyne",1-274109021,Dignity Homecare (Yorkshire) Ltd
"Kane, Kerry",1-101679388,Consummate Care Limited
"Kanengoni, Brian",1-16460373500,Care Wings Limited
"Kanengoni, Hilton",1-16473943234,HHR Care Services Ltd
"Kanengoni, Lynett",1-9446101983,L&F Care Services Limited
"Kanengoni, Owen",1-13948481123,The Integral Care Hub Ltd
"Kang, Charanjit",1-4882232684,Greenleaves Homecare Services Limited
"Kang, Mohinder",1-122683570,Regal Care (Worcester) Limited
"Kangoma, Patrick",1-101643961,Culture Care Agency Limited
"Kangombe, Lucia",1-1921188456,Olive Leaf Health & Homecare Limited
"Kanjere, Priscilla",1-12127834587,Ready Care Private Limited
"Kannenberg, Tania",1-1349620724,Next Step Domiciliary Care Ltd
"Kanojia, Kailash",1-2454630200,BetterHealth Bucks C.I.C.
"Kant, Aidan",1-1097804444,Seraphim Home Care Ltd
"Kanu, Tendai",1-13310424135,Meemanda Rose Homecare Limited
"Kanu, Unisa",1-9522941587,Kare Support Services Ltd
"Kanyangarara, Dennis",1-13689465796,Cynthylee Care Limited
"Kanyasa, Ritah",1-4224541203,Divine Care Staffing Ltd
"Kanyowa, Simbarashe",1-14811371336,Aboutme Care Services Ltd
"Kapasi, Nargis",1-266655241,Care 4 U Ltd
"Kapenya, Loice",1-6554106861,Jewel Home Care Ltd
"Kapikinyu, Theodollar",1-15110144500,The Little Robins Care Services Limited
"Kapoor, Sunny",1-4521210421,Expert Care UK Services Ltd
"Kapumha, Loveness",1-15840632835,My Voyage Care Solutions Limited
"Kapurura, Will",1-6749788485,Soundhealth Ltd
"Kara, Rekha",1-2116910411,First 2 Care Service Ltd
"Karadiar, Senthil",1-18393683985,Great Life Care Ltd
"Karaki, Jumaa",1-4810888111,Richmond House Social Care Services CIC
"Karashi, Manuel",1-2341189346,Macadamia Support Limited
"Karavadra, Bharat",1-1380183539,Parklands Care Services Limited
"Karavadra, Nisha",1-342614062,The Grovecare (UK) Limited
"Karavdra, Vimal",1-8179672131,Yarborough Care Ltd
"Kareem, Sheu",1-15849741113,Kastanstory Home Care Services Limited
"Karia, Nikesh",1-3674879934,High Quality Home Care Ltd
"Karikari, Jayshree",1-1922224804,J.M.K Care Services Limited
"Karikari-Boateng, Dorothy",1-18130203531,Passion Care Solutions Ltd
"Karim, Mamuna",1-1590707986,Beda Homecare Ltd
"Karim, Shahida",1-10569826020,Willow Wood Care Ltd
"Karimazondo, Agness",1-2335448168,Healthy Home Care Services Ltd
"Karira, Tarisai",1-101654309,Wilnash Care Limited
"Kariuki, Salome",1-10313074881,Equator Personnel Care Ltd
"Kariyawasam, Majuwana",1-2529959955,DHR Support Services Ltd
"Karnas, Aneta",1-101680597,Edenvale Care Limited
"Karolia, Isimal",1-18116076823,4Ever Care UK Limited
"Karthikeyan, Selvan",1-101698204,First Care Lodge Limited
"Karuga, Charles",1-5103109051,Action 2 Care Ltd
"Karuppiah, Vignesh",1-6118919864,Kifash Care Limited
"Karuwa, Patience",1-9547940405,Patkay Care Services Ltd
"Kaseke, Kay",1-102643425,Cygnet Health Care Limited
"Kashangura, Willard",1-221182651,Principle Support Ltd
"Kasinos, Kyriacos",1-1496002160,ION Ambulance Care Ltd
"Kasozi, Gorretti",1-13680610107,Xtra Care Services Ltd
"Kasozi, Paul",1-10222358525,1Eclipse Care Solutions Limited
"Kasozi, Paul",1-5055883722,Passionate & Care Limited
"Kassam, Saara",1-11678513939,Jannat Homecare Services Ltd
"Kataria, Ranjit",1-9358656635,BZ For Care Ltd
"Kataria, Ranjit",1-9414061459,Beechcroft Care Limited
"Katechia, Bhagesh",1-9272532319,Bell Health Centre Limited
"Katongomara, Brighton",1-18949469336,Global Care Link Limited
"Katsande, Langton",1-8002255437,Personal Care Support LTD
"Katsande, Sarah",1-6269460443,Havesters Care Ltd
"Katsande, Veronica",1-10978464357,Ocearns Care Services Ltd
"Katsangu, Patience",1-5144061475,Light Care Services Limited
"Kaungwa, Wilson",1-15943802361,Selwood Health & Social Care Limited
"Kaur, Amrit",1-3724063132,Grande Care Ltd
"Kaur, Anita",1-7812531368,121Health&Care Limited
"Kaur, Baljinder",1-101682412,Care Unique Ltd
"Kaur, Baljinder",1-18381473423,KBRO Health Care Limited
"Kaur, Baljit",1-488073658,Care XY Limited
"Kaur, Bhavjit",1-202022788,Health & Aesthetic Clinic Limited
"Kaur, Drinder",1-835348000,Poppy Lodge Care Residential Homes Limited
"Kaur, Harvinder",1-14150317445,Pacific Care Solutions Limited
"Kaur, Kamaljit",1-14970704511,Care At Call Ltd
"Kaur, Kamaljit",1-2194086752,Outcome Care and Support Limited
"Kaur, Kamaljit",1-370843088,Desired Care 4 U Limited
"Kaur, Kulbinder",1-2555699700,Dwell Homecare Limited
"Kaur, Kulbir",1-4775808399,Kloay's Care Ltd
"Kaur, Mandeep",1-2370681756,Stephen Support Services Ltd
"Kaur, Manjit",1-2373361411,Care2Home Ltd
"Kaur, Manjot",1-7335900519,Innovative Support Ltd
"Kaur, Meharjeet",1-18225726044,Gecko Care Ltd
"Kaur, Narinder",1-101647443,First Care Services Limited
"Kaur, Paramjeet",1-18015666056,Signature Health Ltd
"Kaur, Rajinder",1-8966459544,Actual Care Services Ltd
"Kaur, Ramandeep",1-18702229819,RGHarmony Care Limited
"Kaur, Ria",1-471640708,AICS (Acquired Injury Care & Support) Ltd
"Kaur, Sharandip",1-441061316,Crowne Home Care Limited
"Kaurrai, Jennifer",1-16439649747,Meridale Care Services Ltd
"Kausar, Farzana",1-15253504160,My Homecare Cambs Limited
"Kauzuu, Mbakondja",1-12674195797,Tee Plus Care Ltd
"Kavri, Ranjit",1-15879045223,Milton Care Ltd
"Kawimbi, Thandolwenkosi",1-12948960844,Scope Care Services Ltd
"Kay, Angela",1-2436372960,Ace Social Care Ltd
"Kay, Janet",1-217351501,Preston Bethany Care
"Kay, Leighann",1-1278661305,Park View Care (North East) Limited
"Kayaga, Angellah",1-12421736619,Outreach Care and Staffing Limited
"Kayani, Muhammad",1-12867733814,Unity Care Agency Ltd
"Kayani, Muhammad",1-9542569265,Carex Group Ltd
"Kayani, Samira",1-15935777712,ECE Expert Care Limited
"Kayitesi, Miria",1-14628087309,Better Living Support Group Ltd
"Kayode, Oladunni",1-6548233727,London Ondcare Services Limited
"Kazemzadeh, Mahdi",1-186813871,Neighbourhood Care Limited
"Kazemzadeh, Mahdi",1-358148110,Martin Care Services Ltd
"Kazemzadeh, Mahdi",1-429529732,Maxcare Ltd
"Kaziboni, Tinotenda",1-10970393722,On Time Care Ltd
"Kazmierczak, Agnieszka",1-15486383424,Care and Homes Limited
"Kazunguzeni, Daniso",1-4052461848,Doves Care & Support Limited
"Kazurkina, Solvita",1-13787349342,Soka Care Services Ltd
"Kc, Sushila",1-6813720663,Vector Care Ltd
"Keane, Siobhan",1-2883161923,Solihull Time To Care Limited
"Kearns, Thomas",1-461792040,Angelina Care Limited
"Keating, Katrina",1-12617790948,Prudent Supported Living Limited
"Kebianyor, Ashu",1-6571068477,Bes Care Limited
"Keegan, Patrick",1-3507747484,East Anglia Medical Care Ltd
"Keen, Karen",1-101672001,Buckland Care Limited
"Keeya, Rita",1-6642616720,Radiant Care Services Ltd
"Keke, Stanley",1-13725939971,Floranto Care Services Ltd
"Kellar, Philippa",1-120628745,Richmond Care Villages Holdings Limited
"Kellett, Sarah",1-8067887750,Bespoke Care Services (NW) Limited
"Kelly, Alan",1-101619085,Homestead Residential Care Limited
"Kelly, Beatrice",1-101654078,Marston Care Limited
"Kelly, Beatrice",1-101697110,Mandeville Care Services Limited
"Kelly, Beatrice",1-119231686,Diligent Care Services Ltd
"Kelly, Beatrice",1-230490003,Chiltern Care Services Limited
"Kelly, Deborah",RJ6,Croydon Health Services NHS Trust
"Kelly, Jakki",1-101676380,Corporate Care Furness Limited
"Kelly, Maria",1-13120626964,Roche Homecare Ltd
"Kelly, Nicholas",1-101641889,Respect Care Services Limited
"Kelly, Nicholas",1-1405652095,Axela Care Limited
"Kelly, Ruth",1-793644317,Caprani Care Limited
"Kelly, Sara",1-3233153708,Nest HomeCare Limited
"Kelly-Fall, Rebecca",1-1757407972,Epiphany In Care Limited
"Kelshaw, Haydn",1-6547828736,Broadstone Care Limited
"Kemp, Lisa",1-340615896,Haslemere Homecare Limited
"Kendall, Kelly",1-16380343204,Complete Home Care Kent Limited
"Kendall, Shona",1-14878630695,Harrington Homecare Ltd
"Kennedy, Darren",1-17918351466,Cherished Home Care Limited
"Kennedy, Jayne",1-101619544,Four Care Plus Limited
"Kennedy, Jayne",1-101655143,Action for Care Limited
"Kennedy, Josephine",1-131469291,The Private Care Company Limited
"Kennedy, Karen",1-6376491693,Kitcare Limited
"Kennedy, Liam",1-14872688288,Optimised Care Limited
"Kennedy, Philip",1-414312176,Commitment to Care Ltd
"Kennedy, Samantha",1-9334341151,Royal Diadem Care Limited
"Kennedy, Thomas",1-7311156823,Tailor Care Southampton Limited
"Kennedy, Tracy",1-800575991,Ethos Care Services Limited
"Kennell, Sian",1-121484709,Derwent Residential Care Limited
"Kennelly, Kadian",1-2649866428,Assure Care Ltd
"Kennerley, Rachel",1-175865110,Eldercare (UK) Ltd
"Kenny, Luke",1-174006764,Simicare Limited
"Kenny, Paula-Ann",1-13215125225,Carelytical Home Care Ltd
"Kent, Dominique",1-474288107,Bluecrest Health Screening Limited
"Kent, Sheila",1-149127328,Assist Teignbridge
"Kentish, Neil",1-965359859,Coastal Homecare (Hove) Limited
"Kenton, Rosalie",1-9128075945,Humanity Care & Support Services Ltd
"Kenward, Nicholas",1-101670368,Well House Care Sussex Ltd
"Kerchhoff, Berenice",1-251496233,Amethyst Home Care Limited
"Kerr, Andree",1-309187855,Kerr-Care At Home Services Ltd
"Kerr, Andrew",1-101692683,Parkside Care Limited
"Kerr, Julie",1-3693511605,JACS Care Consultancy Ltd
"Kerr, Lesley",1-101721981,Scott Care Limited
"Kerridge-McColl, Marcus",1-101643219,Crescent Community Care Services Limited
"Kerrigan, David",1-4646200340,Phoenix Public Health Ltd
"Kerrigan, David",1-4757119512,Phoenix Private Health Ltd
"Kerry, Louise",1-5441805740,Mariposa Care Group Limited
"Kershaw, Rachel",1-12292063676,Gold Bridge Care Ltd
"Keshwala, Sunil",1-578263320,SVK Care Ltd
"Keshwara, Vaju",1-101620380,Kesh-Care Limited
"Ketema Tefera, Tigist",1-8651063943,Shephards Care Services Ltd
"Key, Andrew",1-6114035536,Liberty Private Care Ltd
"Key, Paula",1-131467268,Shangri-La Care Services Limited
"Key, Tara",1-101675013,Caring Hands (Care Services) Ltd
"Keymer-Smith, Rebecca",1-1340400984,RKS Care Limited
"Khabbazi, Barry",1-139905581,Cedarcare (SE) Ltd
"Khabra, Arinder",1-273415171,Frankel Care Limited
"Khadka, Swarup",1-126773714,Jasmine Care Holdings Limited
"Khagram, Rohit",1-999146652,Sharda Care Limited
"Khaira, Balwinder",1-4720739841,Jubilee Court Care Ltd
"Khajjou, Mohamed Said",1-1657362575,Panacea Senior Care Limited
"Khaka, Vuyo",1-1289540884,Care Advocates Ltd
"Khalid, Faiza",1-9976871047,Loyalty Care Ltd
"Khalif, Abdiqani",1-6990431268,Nearbycare Ltd
"Khaliq, Mohammed",1-15615827838,Easterly Care Ltd
"Khalique, Lisa",1-18288624801,Kent Care Ltd
"Khan Faisal, Naseeb Mohammed",1-16480184716,Family First Care Serene Ltd
"Khan, Aadil",1-11153451549,Implant Health Limited
"Khan, Aaliyah",1-14373237891,Customized Community Support Ltd
"Khan, Addam",1-12187167552,Homecare We Care Ltd
"Khan, Aftab",1-17924330151,Universal Home Care Ltd
"Khan, Akber",1-14582765161,Delight Support Services Ltd
"Khan, Ali",1-205454751,L D Care Limited
"Khan, Ali",1-5233943150,Acts Health Care Ltd
"Khan, Aliyah",1-15977389407,Restore Skin and Health Ltd
"Khan, Amna",1-15266888977,Renuluxe Health Limited
"Khan, Anma",1-3701677513,Sathi Care Ltd
"Khan, Ashaduzzaman",1-16412149049,LAK Care Services Limited
"Khan, Asma",1-1553474414,Dentak Care and Services Limited
"Khan, Avaiz",1-15091252787,A-Star Care Solutions Limited
"Khan, Awais",1-2662734301,Northern Health Limited
"Khan, Azmat",1-4658988489,4Life Care Chesterfield Limited
"Khan, Babar",1-4950069705,Franklin Care Group Limited
"Khan, Baidar Muhammad",1-6957432492,Lets Care All LTD.
"Khan, Faria",1-9863942366,Tulip Mental Health and Community Care Limited
"Khan, Farzana",1-17429779686,Mynas Care Ltd
"Khan, Fayyaz",1-16336383027,MZM Care Solutions Ltd
"Khan, Halima",1-12923628072,Platinum Home Care Limited
"Khan, Hamza",1-15819708171,Smart Care Ltd
"Khan, Haris",1-10918672702,Brook House Care Ltd
"Khan, Hassun-Belal",1-13012323291,Silverwood Care Peterborough Ltd
"Khan, Jabeen",1-7118839165,Das Care Limited
"Khan, Kamal",1-740894052,Spring View Care Limited
"Khan, Kamran",1-18122320126,Red Rose Care NW Ltd
"Khan, Malik",1-461448201,Midland Care (UK) Ltd
"Khan, Mohamed",1-2267455206,Westerfield House Care Ltd
"Khan, Muhammad",1-16891372694,Ocean Care Services Ltd
"Khan, Muhammad-Qaasim",1-16420677505,Prestige Quality Care Ltd
"Khan, Muhammed",1-4589960512,Link Care Solutions Limited
"Khan, Naimat",1-15036260373,Excellency Care LTD
"Khan, Naimat",1-4954964087,Your Care Provider Ltd
"Khan, Owais",1-101641143,Shared Care Services Limited
"Khan, Owais",1-13509029165,Shared Living Care Ltd
"Khan, Raja",1-14587924225,Crown House Care Ltd
"Khan, Sajid",1-7895844328,H & L Care Limited
"Khan, Saleem",1-18377630706,02 Care Ltd
"Khan, Samia",1-166591429,U&I Care Limited
"Khan, Shaheen",1-3857689532,SK Care Coventry Ltd
"Khan, Shakeel",1-10047922762,Astounding Care Services Ltd
"Khan, Shakeel",1-3519228566,Care Staff Services Ltd
"Khan, Sheereen",1-6340197600,Mirage Care Limited
"Khan, Sher",1-8851655240,Care Connect Bury Ltd
"Khan, Sheraz",1-4695680717,Primary Care Management Solutions Ltd
